@RELATION socialList
@ATTRIBUTE char_length numeric
@ATTRIBUTE number_of_words numeric
@ATTRIBUTE presence_of_days {0,1}
@ATTRIBUTE presence_of_numbers {0,1}
@ATTRIBUTE presence_of_noun {0,1}
@ATTRIBUTE presence_of_adjective {0,1}
@ATTRIBUTE presence_of_verbs {0,1}
@ATTRIBUTE presence_of_adverb {0,1}
@ATTRIBUTE presence_of_pronouns {0,1}
@ATTRIBUTE pos_tag_entropy real
@ATTRIBUTE ratio_of_non_english_to_english_words real
@ATTRIBUTE search_results_titles {0,1}
@ATTRIBUTE class {0,1}
@DATA
bestofninadobrevtvd, 23, 1, 0, 0, 1, 1, 0, 0, 0, 1.92192809489, 1 , 1
thegiftthatkeepsongiving, 29, 1, 0, 0, 1, 0, 1, 0, 0, 2.58496250072, 2 , 1
10daysuntilblackmagic, 25, 1, 0, 1, 1, 1, 0, 0, 0, 2.32192809489, 2 , 1
babysittersblackbook, 22, 1, 0, 0, 1, 1, 0, 0, 0, 1.58496250072, 2 , 1
thingsiputonmyresume, 25, 1, 0, 0, 1, 0, 1, 0, 1, 2.58496250072, 2 , 1
nameaguysfavoritelie, 24, 1, 0, 0, 1, 1, 0, 0, 0, 1.52192809489, 2 , 1
threewordmatchreport, 23, 1, 0, 1, 1, 0, 0, 0, 0, 0.811278124459, 2 , 1
thingsthegrammysgotright, 28, 1, 0, 0, 1, 1, 1, 0, 0, 2.32192809489, 1 , 1
longdistancerelationshipprobs, 32, 1, 0, 0, 1, 1, 0, 1, 0, 0.811278124459, 2 , 1
lifeofamedstudent, 21, 1, 0, 0, 1, 0, 0, 0, 0, 1.92192809489, 2 , 1
oldmantweets, 15, 1, 0, 0, 1, 1, 1, 0, 0, 0.811278124459, 2 , 1
sophmoreyearin5words, 24, 1, 0, 1, 1, 0, 0, 0, 0, 2.32192809489, 2 , 1
5reasonswhy5sosshouldgetslimedatkcas, 42, 1, 0, 0, 1, 0, 1, 0, 0, 2.52164063634, 0 , 1
reasonswhyilovecalum, 24, 1, 0, 0, 1, 0, 1, 1, 1, 1.92192809489, 1 , 1
queensofdarkeness, 20, 1, 0, 0, 1, 0, 0, 0, 0, 1.5, 0 , 1
savespringbreak2k15, 22, 1, 0, 0, 1, 0, 1, 0, 0, 1.5, 2 , 1
21picsofharryfrommycameraroll, 36, 1, 0, 1, 1, 0, 1, 0, 0, 2.15563906223, 0 , 1
myinterestingstory, 20, 1, 0, 0, 1, 1, 0, 0, 0, 1.58496250072, 2 , 1
ourseasoninaword, 20, 1, 0, 0, 1, 0, 0, 0, 0, 1.92192809489, 2 , 1
pubnamesformodernlife, 25, 1, 0, 0, 1, 1, 0, 0, 0, 1.92192809489, 2 , 1
whatisart, 11, 1, 0, 0, 1, 0, 1, 0, 1, 1.58496250072, 2 , 1
bestplaceonearth, 19, 1, 0, 0, 1, 1, 0, 0, 0, 1.5, 2 , 1
howtodresslikekanyewest, 28, 1, 0, 0, 1, 0, 1, 1, 0, 2.25162916739, 1 , 1
20daysofdallasfanproject, 29, 1, 0, 1, 1, 0, 0, 0, 0, 2.25162916739, 1 , 1
bestplayerintheworld, 24, 1, 0, 0, 1, 1, 0, 0, 0, 1.92192809489, 2 , 1
diamondsofbangalore, 21, 1, 0, 0, 1, 0, 0, 0, 0, 1.58496250072, 0 , 1
reasonsweskippedschool, 25, 1, 0, 0, 1, 0, 1, 0, 1, 2.0, 2 , 1
thewalkingdeadseason5premiere, 34, 1, 0, 1, 1, 1, 1, 0, 0, 2.25162916739, 2 , 1
thingsonlywomencando, 24, 1, 0, 0, 1, 1, 1, 0, 0, 1.92192809489, 2 , 1
faithfulblackwomenoftwitter, 31, 1, 0, 0, 1, 1, 0, 0, 0, 1.92192809489, 1 , 1
hopingforthebest, 19, 1, 0, 0, 0, 1, 1, 0, 0, 2.0, 2 , 1
ifiwasaninventor, 20, 1, 0, 0, 1, 0, 1, 0, 1, 1.92192809489, 2 , 1
50shadesofabuse, 18, 1, 0, 1, 1, 0, 0, 0, 0, 2.0, 2 , 1
stopmexicangirls2014, 23, 1, 0, 1, 1, 1, 1, 0, 0, 2.0, 2 , 1
besttweetoftheday, 21, 1, 0, 0, 1, 1, 0, 0, 0, 1.92192809489, 2 , 1
bestofbengaluru, 18, 1, 0, 0, 1, 1, 0, 0, 0, 1.5, 1 , 1
thingswhitepeoplesay, 23, 1, 0, 0, 1, 1, 1, 0, 0, 1.5, 2 , 1
thingsthatlastlongerthanstevengerrard, 43, 1, 0, 0, 1, 1, 0, 1, 0, 2.80735492206, 1 , 1
whywelovelouis, 17, 1, 0, 0, 1, 0, 1, 1, 1, 2.0, 1 , 1
replacefearwithfacts, 23, 1, 0, 0, 1, 0, 1, 0, 0, 2.0, 2 , 1
replace5soslyricswithtitties, 32, 1, 0, 0, 1, 0, 1, 0, 0, 1.92192809489, 1 , 1
americasnexttopmodel, 23, 1, 0, 0, 1, 1, 0, 0, 0, 0.811278124459, 1 , 1
americainfivewords, 21, 1, 0, 1, 1, 0, 0, 0, 0, 2.0, 1 , 1
breakupin5words, 19, 1, 0, 1, 1, 0, 1, 0, 0, 2.32192809489, 2 , 1
childrenarethefuture, 23, 1, 0, 0, 1, 0, 1, 0, 0, 2.0, 2 , 1
fivewordstogetadate, 24, 1, 0, 1, 1, 0, 1, 0, 0, 2.58496250072, 2 , 1
thingsthatmeantheopposite, 29, 1, 0, 0, 1, 0, 1, 0, 0, 2.32192809489, 2 , 1
allwomencrazy, 15, 1, 0, 0, 1, 1, 0, 0, 0, 1.58496250072, 2 , 1
describeyourfriendshipinapicture, 37, 1, 0, 0, 1, 0, 1, 0, 0, 2.25162916739, 2 , 1
enjoythelittlethings, 23, 1, 0, 0, 1, 1, 1, 0, 0, 2.0, 2 , 1
graduationmoments101, 22, 1, 0, 1, 1, 0, 0, 0, 0, 1.58496250072, 2 , 1
leadersineventsmanagement, 28, 1, 0, 0, 1, 0, 0, 0, 0, 1.5, 2 , 1
50greatestbandsandartists, 29, 1, 0, 1, 1, 1, 0, 0, 0, 1.92192809489, 2 , 1
1stnigerianationalreadingchampion, 37, 1, 0, 0, 1, 1, 1, 0, 0, 1.52192809489, 1 , 1
thingsweloveabouttyler, 26, 1, 0, 0, 1, 0, 1, 0, 1, 2.32192809489, 1 , 1
whatpeopledontrealize, 24, 1, 0, 0, 1, 0, 1, 0, 1, 2.0, 2 , 1
neverreadthecomments, 23, 1, 0, 0, 1, 0, 1, 1, 0, 2.0, 2 , 1
reasonsjimdeserves2million, 30, 1, 0, 1, 1, 0, 1, 0, 0, 1.92192809489, 1 , 1
secretsofsportsdirect, 24, 1, 0, 0, 1, 1, 0, 0, 0, 1.5, 2 , 1
bestcityintheworld, 22, 1, 0, 0, 1, 1, 0, 0, 0, 1.92192809489, 2 , 1
besttvshowcredits, 20, 1, 0, 0, 1, 1, 0, 0, 0, 1.5, 2 , 1
fivewordstoruinatrek, 25, 1, 0, 1, 1, 0, 1, 0, 0, 2.58496250072, 2 , 1
superwomaninsingapore, 23, 1, 0, 0, 1, 1, 0, 0, 0, 0.918295834054, 1 , 1
2015istheyearofjamesarthur, 32, 1, 0, 1, 1, 0, 1, 0, 0, 2.80735492206, 1 , 1
fivewordstomakeadatebetter, 32, 1, 0, 1, 1, 1, 1, 0, 0, 2.80735492206, 2 , 1
thefaceoftheyouth, 21, 1, 0, 0, 1, 0, 0, 0, 0, 1.52192809489, 2 , 1
bestfriendappreciationtweet, 30, 1, 0, 0, 1, 1, 0, 0, 0, 0.811278124459, 2 , 1
fivewordsharperfears, 23, 1, 0, 1, 1, 0, 0, 0, 0, 1.0, 1 , 1
thingsthatmadeyoucoolatschool, 35, 1, 0, 0, 1, 1, 1, 0, 1, 2.80735492206, 2 , 1
flavoursofmalaysia, 20, 1, 0, 0, 1, 0, 0, 0, 0, 1.58496250072, 1 , 1
worldpeacein5words, 22, 1, 0, 1, 1, 0, 0, 0, 0, 1.92192809489, 2 , 1
activistpickuplines, 22, 1, 0, 0, 1, 0, 1, 0, 0, 1.5, 2 , 1
bestcomplimentever, 20, 1, 0, 0, 1, 1, 0, 1, 0, 1.58496250072, 2 , 1
friendshipneverends, 21, 1, 0, 0, 1, 0, 1, 1, 0, 1.58496250072, 2 , 1
fiftyshadesofcheesefries, 28, 1, 0, 1, 1, 0, 0, 0, 0, 1.52192809489, 2 , 1
prevalentinebreakuplines, 28, 1, 0, 0, 1, 1, 1, 0, 0, 1.92192809489, 2 , 1
trueloveneverdies, 20, 1, 0, 0, 1, 1, 1, 1, 0, 2.0, 2 , 1
wordsonitunestonight, 23, 1, 0, 0, 1, 0, 0, 0, 0, 1.5, 1 , 1
handwritteninspirations, 24, 1, 0, 0, 1, 1, 0, 0, 0, 1.0, 2 , 1
reasonstocelebrate, 20, 1, 0, 0, 1, 0, 1, 0, 0, 1.58496250072, 2 , 1
50shadesofliberalism, 23, 1, 0, 1, 1, 0, 0, 0, 0, 2.0, 2 , 1
firstworldproblemssolved, 27, 1, 0, 0, 1, 1, 1, 0, 0, 2.0, 2 , 1
changeonewordinasongtitletowhiskey, 42, 1, 0, 1, 1, 0, 1, 0, 0, 2.28103611255, 2 , 1
yourfriendshipgoals, 21, 1, 0, 0, 1, 0, 0, 0, 0, 1.58496250072, 2 , 1
conferenceofchampions, 23, 1, 0, 0, 1, 0, 0, 0, 0, 1.58496250072, 2 , 1
jesuschangeseverything, 24, 1, 0, 0, 1, 0, 1, 0, 0, 0.918295834054, 1 , 1
makeawishfoundation, 22, 1, 0, 0, 1, 0, 1, 0, 0, 2.0, 2 , 1
thingsthatmakeyougohmmmm, 29, 1, 0, 0, 1, 0, 1, 0, 1, 2.25162916739, 2 , 1
50factsaboutme, 17, 1, 0, 1, 1, 0, 0, 0, 1, 2.0, 2 , 1
banallthethings, 18, 1, 0, 0, 1, 0, 1, 0, 0, 2.0, 2 , 1
reasoniamnotasuperhero, 27, 1, 0, 0, 1, 0, 1, 1, 1, 2.25162916739, 2 , 1
revolutionoflove, 18, 1, 0, 0, 1, 0, 0, 0, 0, 0.918295834054, 2 , 1
theothersideoftheradio, 27, 1, 0, 0, 1, 1, 0, 0, 0, 1.91829583405, 2 , 1
worstdecisionever, 19, 1, 0, 0, 1, 1, 0, 1, 0, 1.58496250072, 2 , 1
adventuresinbabysitting, 25, 1, 0, 0, 1, 0, 1, 0, 0, 1.58496250072, 2 , 1
darksideofthemoon, 21, 1, 0, 0, 1, 1, 0, 0, 0, 1.92192809489, 2 , 1
importantlifequestions, 24, 1, 0, 0, 1, 1, 0, 0, 0, 1.58496250072, 2 , 1
weloveharrybecause, 21, 1, 0, 0, 1, 0, 1, 0, 1, 2.0, 1 , 1
handwritteninsipirations, 29, 1, 0, 0, 1, 0, 1, 0, 1, 1.79248125036, 2 , 1
lexingtonpolicescanner, 24, 1, 0, 0, 1, 0, 0, 0, 0, -0.0, 1 , 1
natinalbestfriendday, 23, 1, 0, 0, 1, 1, 0, 0, 0, 1.5, 2 , 1
worldhealthinnovationsummit, 30, 1, 0, 0, 1, 0, 0, 0, 0, -0.0, 2 , 1
50shadesofgreen, 18, 1, 0, 1, 1, 1, 0, 0, 0, 2.0, 2 , 1
fivefilms4freedom, 20, 1, 0, 1, 1, 0, 0, 0, 0, 1.5, 2 , 1
mentionsomeoneperfect, 23, 1, 0, 0, 1, 1, 1, 0, 0, -0.0, 2 , 1
queensofdarkenss, 19, 1, 0, 0, 1, 0, 0, 0, 0, 1.5, 2 , 1
riseofthesecretsoldiers, 27, 1, 0, 0, 1, 1, 0, 0, 0, 2.32192809489, 2 , 1
taylorswiftforpenshoppe, 27, 1, 0, 0, 1, 0, 0, 0, 0, 1.37095059445, 1 , 1
thingswhitepeopledo, 22, 1, 0, 0, 1, 1, 1, 0, 0, 1.5, 2 , 1
thebestcureforboredomis, 28, 1, 0, 0, 1, 1, 1, 0, 0, 2.25162916739, 2 , 1
whywecanthavenicethings, 28, 1, 0, 0, 1, 1, 1, 1, 1, 2.25162916739, 2 , 1
uniteagainstterrorism, 23, 1, 0, 0, 1, 0, 1, 0, 0, 1.58496250072, 2 , 1
blacklovematters, 18, 1, 0, 0, 1, 1, 1, 0, 0, 1.58496250072, 2 , 1
mymomsbiggestmistakewas, 27, 1, 0, 0, 1, 1, 1, 0, 0, 2.32192809489, 2 , 1
retweettosavealife, 23, 1, 0, 0, 1, 0, 1, 0, 0, 2.25162916739, 2 , 1
thingsyoushouldntsayinbed, 30, 1, 0, 0, 1, 0, 1, 0, 1, 2.58496250072, 2 , 1
changetheworldwiththisrap, 30, 1, 0, 0, 1, 0, 1, 0, 0, 1.91829583405, 2 , 1
bringbackourchildhood, 24, 1, 0, 0, 1, 0, 1, 0, 0, 2.0, 2 , 1
depressing80sfilms, 20, 1, 0, 1, 1, 1, 0, 0, 0, 1.58496250072, 2 , 1
thingsnottodoinspace, 25, 1, 0, 0, 1, 0, 1, 1, 0, 2.58496250072, 2 , 1
thepoweroftwitter, 20, 1, 0, 0, 1, 0, 0, 0, 0, 1.5, 1 , 1
thingsladiesshouldstop, 25, 1, 0, 0, 1, 0, 1, 0, 0, 1.5, 2 , 1
theneverendingstory, 21, 1, 0, 0, 1, 1, 0, 0, 0, 1.58496250072, 2 , 1
bestfootballerineversaw, 27, 1, 0, 0, 1, 1, 1, 1, 1, 1.92192809489, 2 , 1
bestfriendprobz, 18, 1, 0, 0, 1, 1, 0, 1, 0, 0.811278124459, 2 , 1
makedreamscometrue, 21, 1, 0, 0, 1, 1, 1, 0, 0, 1.5, 2 , 1
onlyblacklivesmatter, 23, 1, 0, 0, 1, 1, 0, 1, 0, 2.0, 2 , 1
whatmakesmehappy, 19, 1, 0, 0, 0, 1, 1, 0, 1, 2.0, 2 , 1
yourproblemin3words, 23, 1, 0, 1, 1, 0, 0, 0, 0, 2.32192809489, 2 , 1
4favoritevillains, 19, 1, 0, 1, 1, 1, 0, 0, 0, 1.58496250072, 2 , 1
internationaldayoffamilies, 29, 1, 0, 0, 1, 1, 0, 0, 0, 2.0, 2 , 1
tweetlikeakanyestan, 23, 1, 0, 0, 1, 0, 1, 0, 0, 1.37095059445, 1 , 1
thingsineverthoughtidsay, 29, 1, 0, 0, 1, 0, 1, 1, 1, 1.91829583405, 2 , 1
50reasonswhyiloveperrie, 28, 1, 0, 1, 1, 0, 1, 1, 1, 2.25162916739, 0 , 1
bridgesoflovethethreat, 26, 1, 0, 0, 1, 0, 1, 0, 0, 1.92192809489, 2 , 1
learnfromyourmistakes, 24, 1, 0, 0, 1, 0, 1, 0, 0, 2.0, 2 , 1
nevergiveuponthedream, 26, 1, 0, 0, 1, 0, 1, 1, 0, 2.58496250072, 2 , 1
3bestwordsever, 17, 1, 0, 1, 1, 1, 0, 1, 0, 2.0, 2 , 1
bridgesoflovethesacrifice, 29, 1, 0, 0, 1, 0, 1, 0, 0, 1.92192809489, 2 , 1
dinnerin5words, 17, 1, 0, 1, 1, 0, 0, 0, 0, 2.0, 2 , 1
educatesupportinspire, 23, 1, 0, 0, 1, 0, 1, 0, 0, 0.918295834054, 2 , 1
fivewordstoruinadatei, 27, 1, 0, 1, 1, 0, 1, 0, 1, 2.52164063634, 2 , 1
mentionsomeoneamazing, 23, 1, 0, 0, 1, 1, 1, 0, 0, -0.0, 2 , 1
themeaningoflife, 19, 1, 0, 0, 1, 0, 0, 0, 0, 1.5, 2 , 1
thingswhitepeoplelike, 24, 1, 0, 0, 1, 1, 0, 0, 0, 1.5, 2 , 1
thingsthatannoyme, 20, 1, 0, 0, 1, 0, 1, 0, 1, 2.0, 2 , 1
bestscenesofteenwolf, 24, 1, 0, 0, 1, 1, 0, 0, 0, 2.32192809489, 1 , 1
crimeagainsthumanity, 22, 1, 0, 0, 1, 0, 0, 0, 0, 0.918295834054, 2 , 1
societyneedsprogress, 22, 1, 0, 0, 1, 0, 1, 0, 0, 0.918295834054, 2 , 1
stuffwhitepeoplelike, 23, 1, 0, 0, 1, 1, 0, 0, 0, 1.5, 2 , 1
twitterhottestgirlstop40, 27, 1, 0, 0, 1, 1, 0, 0, 0, 1.5, 1 , 1
bridgesoflovethejourney, 27, 1, 0, 0, 1, 0, 1, 0, 0, 1.92192809489, 2 , 1
fourwordstoruinadate, 25, 1, 0, 1, 1, 0, 1, 0, 0, 2.58496250072, 2 , 1
savethedolphins, 17, 1, 0, 0, 1, 0, 1, 0, 0, 1.58496250072, 2 , 1
whatayogilookslike, 22, 1, 0, 0, 1, 0, 1, 0, 1, 2.32192809489, 2 , 1
whatmodestypouch, 18, 1, 0, 0, 1, 0, 0, 0, 1, 1.58496250072, 2 , 1
africanparentsbelike, 23, 1, 0, 0, 1, 0, 1, 0, 0, 2.0, 1 , 1
bestbirthdaypresentever, 26, 1, 0, 0, 1, 1, 0, 1, 0, 2.0, 2 , 1
bridgesoflovethedemolition, 30, 1, 0, 0, 1, 0, 1, 0, 0, 1.92192809489, 2 , 1
happymomentsathome, 21, 1, 0, 0, 1, 1, 0, 0, 0, 2.0, 2 , 1
keepfightingthegoodfight, 28, 1, 0, 0, 1, 1, 1, 0, 0, 2.32192809489, 2 , 1
keepgettingbetter, 19, 1, 0, 0, 0, 1, 1, 0, 0, 1.58496250072, 2 , 1
makeakidshowserious, 23, 1, 0, 0, 1, 1, 1, 1, 0, 2.32192809489, 2 , 1
thingsthatlastlongerthangerrard, 36, 1, 0, 0, 1, 1, 0, 1, 0, 2.58496250072, 1 , 1
whenamanlovesawoman, 24, 1, 0, 0, 1, 0, 1, 1, 0, 1.91829583405, 2 , 1
howtotreatawhitegirl, 25, 1, 0, 0, 1, 1, 1, 1, 0, 2.58496250072, 2 , 1
thesturgglesofahighnigga, 31, 1, 0, 0, 1, 1, 0, 0, 0, 2.15563906223, 0 , 1
americanhorrorstorys, 23, 1, 0, 0, 1, 0, 0, 0, 0, 0.811278124459, 1 , 1
makejunkfoodfamous, 21, 1, 0, 0, 1, 1, 1, 0, 0, 1.5, 2 , 1
6wordacceptancespeech, 23, 1, 0, 0, 1, 0, 0, 0, 0, 0.918295834054, 1 , 1
mylifein5words, 18, 1, 0, 1, 1, 0, 0, 0, 0, 2.32192809489, 2 , 1
oneruleiliveby, 18, 1, 0, 1, 1, 0, 1, 0, 1, 1.92192809489, 2 , 1
perksofbeingawoman, 22, 1, 0, 0, 1, 0, 1, 0, 0, 2.32192809489, 2 , 1
90schangedtheworld, 21, 1, 0, 1, 1, 0, 1, 0, 0, 2.0, 2 , 1
best4wordsever, 17, 1, 0, 1, 1, 1, 0, 1, 0, 2.0, 2 , 1
endviolenceagainstwomen, 26, 1, 0, 0, 1, 0, 0, 0, 0, 1.5, 2 , 1
makemydreamcometrue, 23, 1, 0, 0, 1, 1, 1, 0, 0, 1.92192809489, 2 , 1
theperfectdayin3words, 26, 1, 0, 1, 1, 1, 0, 0, 0, 2.58496250072, 2 , 1
thingspeopleinlovedo, 24, 1, 0, 0, 1, 0, 1, 0, 0, 1.92192809489, 2 , 1
describeheavenin5words, 25, 1, 0, 1, 1, 0, 1, 0, 0, 2.0, 1 , 1
feministnewyearresolutions, 29, 1, 0, 0, 1, 1, 0, 0, 0, 1.5, 2 , 1
funniesttumblrposts, 22, 1, 0, 0, 1, 1, 0, 0, 0, 1.5, 1 , 1
israelchildrenkillerisraels, 30, 1, 0, 0, 1, 0, 0, 0, 0, 1.5, 1 , 1
onceyougoblackyounevergoback, 35, 1, 0, 0, 0, 1, 1, 1, 1, 1.90563906223, 2 , 1
reasoniamsingle, 18, 1, 0, 0, 1, 1, 1, 0, 1, 1.5, 2 , 1
reasonsniallleftonedirection, 32, 1, 0, 1, 1, 0, 1, 0, 0, 2.32192809489, 1 , 1
thingssinglepeoplesay, 24, 1, 0, 0, 1, 1, 1, 0, 0, 1.5, 2 , 1
540reasonsgizmomaniacs, 25, 1, 0, 1, 1, 0, 0, 0, 0, 2.0, 2 , 1
reasonswelovegrant, 21, 1, 0, 0, 1, 0, 1, 0, 1, 2.0, 2 , 1
whatslovein4words, 19, 1, 0, 0, 1, 1, 0, 0, 1, 1.58496250072, 2 , 1
whensinglepeopleseeacouple, 31, 1, 0, 0, 1, 1, 1, 1, 0, 2.58496250072, 2 , 1
worstdatein5words, 20, 1, 0, 1, 1, 1, 0, 0, 0, 1.5, 2 , 1
ageofnoretirement, 20, 1, 0, 0, 1, 0, 0, 0, 0, 1.5, 2 , 1
bestfansofmathimaran, 25, 1, 0, 0, 1, 1, 0, 0, 1, 2.25162916739, 1 , 1
describethe90sin4words, 25, 1, 0, 0, 1, 0, 1, 0, 0, 2.0, 1 , 1
longdistanceproblems, 22, 1, 0, 0, 1, 1, 0, 0, 0, 1.58496250072, 2 , 1
proudtobedifferent, 21, 1, 0, 0, 0, 1, 1, 0, 0, 2.0, 2 , 1
thingsiwontapologizefor, 27, 1, 0, 0, 1, 0, 1, 0, 1, 1.92192809489, 2 , 1
bridgesoflovethebailout, 28, 1, 0, 0, 1, 0, 1, 0, 0, 2.25162916739, 2 , 1
loveourcustomers, 18, 1, 0, 0, 1, 0, 1, 0, 0, 1.58496250072, 2 , 1
livinglifetothefullest, 26, 1, 0, 0, 1, 1, 1, 0, 0, 2.32192809489, 2 , 1
20daysofdallas, 17, 1, 0, 1, 1, 0, 0, 0, 0, 1.5, 1 , 1
voteukdirectioners, 21, 1, 0, 0, 1, 0, 1, 0, 0, 1.5, 1 , 1
wolfonmoviesnow, 18, 1, 0, 0, 1, 0, 0, 1, 0, 2.0, 1 , 1
streamreflectiononitunes, 27, 1, 0, 0, 1, 0, 0, 0, 0, 1.5, 1 , 1
biggestfashionsaleever, 25, 1, 0, 0, 1, 1, 0, 1, 0, 1.5, 2 , 1
fivewordstoruinadate, 25, 1, 0, 1, 1, 0, 1, 0, 0, 2.58496250072, 2 , 1
hollywoodmusicawards, 22, 1, 0, 0, 1, 0, 0, 0, 0, 0.918295834054, 0 , 1
superwomaninmumbai, 20, 1, 0, 0, 1, 1, 0, 0, 0, 0.918295834054, 1 , 1
internationalwomensday, 24, 1, 0, 0, 1, 1, 0, 0, 0, 1.58496250072, 2 , 1
makesomeonesdayin3words, 26, 1, 0, 1, 1, 0, 1, 0, 0, 1.5, 2 , 1
nationalbestfriendsday, 25, 1, 0, 0, 1, 1, 0, 0, 0, 2.0, 2 , 1
dirtyworkjuly10, 18, 1, 0, 1, 1, 1, 0, 0, 0, 1.5, 1 , 1
internetbestfriendday, 24, 1, 0, 0, 1, 1, 0, 0, 0, 0.811278124459, 2 , 1
askingforafriend, 19, 1, 0, 0, 1, 0, 1, 0, 0, 2.0, 2 , 1
goodadvicein4words, 21, 1, 0, 1, 1, 1, 0, 0, 0, 1.5, 2 , 1
growyourbusiness, 18, 1, 0, 0, 1, 0, 1, 0, 0, 1.58496250072, 2 , 1
offendeveryonein4words, 26, 1, 0, 1, 1, 0, 1, 0, 0, 2.32192809489, 2 , 1
womenagainstfeminism, 22, 1, 0, 0, 1, 0, 0, 0, 0, 1.58496250072, 2 , 1
explainthe90sin4words, 24, 1, 0, 0, 1, 0, 1, 0, 0, 2.0, 1 , 1
8happyendings, 16, 1, 0, 1, 0, 1, 1, 0, 0, 2.0, 2 , 1
happyinternationalwomensday, 30, 1, 0, 0, 1, 1, 0, 0, 0, 1.5, 2 , 1
nationalsiblingsday, 21, 1, 0, 0, 1, 1, 0, 0, 0, 1.58496250072, 2 , 1
internationaldayofhappiness, 30, 1, 0, 0, 1, 1, 0, 0, 0, 1.5, 2 , 1
ruinaweddingin5words, 24, 1, 0, 1, 1, 0, 1, 0, 0, 1.92192809489, 2 , 1
nykaafeminabeautyawards, 27, 1, 0, 0, 1, 0, 0, 0, 0, 1.37095059445, 1 , 1
rajnigandhasixwordsstory, 30, 1, 0, 0, 1, 0, 1, 0, 0, 2.12808527889, 1 , 1
nationalbestfriendday, 24, 1, 0, 0, 1, 1, 0, 0, 0, 1.5, 2 , 1
msg4successfulweeks, 21, 1, 0, 1, 1, 1, 0, 0, 0, 1.58496250072, 2 , 1
senioryearin5words, 22, 1, 0, 1, 1, 1, 0, 0, 0, 2.32192809489, 2 , 1
23goldenyearsofsrk, 22, 1, 0, 1, 1, 1, 0, 0, 0, 2.32192809489, 1 , 1
encourageeveryonein4words, 29, 1, 0, 1, 1, 0, 1, 0, 0, 2.32192809489, 2 , 1
internationaldayofyoga, 25, 1, 0, 0, 1, 1, 0, 0, 0, 1.5, 2 , 1
howtospotafeminist, 22, 1, 0, 0, 0, 1, 1, 1, 0, 2.32192809489, 2 , 1
